Date,DAI_borrowRate,ETH_borrowRate,USDC_borrowRate,USDT_borrowRate,DAI_cash,ETH_cash,USDC_cash,USDT_cash,DAI_collateralFactor,ETH_collateralFactor,USDC_collateralFactor,USDT_collateralFactor,DAI_reserves,ETH_reserves,USDC_reserves,USDT_reserves,DAI_supplyRate,ETH_supplyRate,USDC_supplyRate,USDT_supplyRate,DAI_totalBorrows,ETH_totalBorrows,USDC_totalBorrows,USDT_totalBorrows,DAI_totalSupply,ETH_totalSupply,USDC_totalSupply,USDT_totalSupply,DAI_reserveFactor,ETH_reserveFactor,USDC_reserveFactor,USDT_reserveFactor
2022-05-21,0.027731303889556202,0.0239411953038942,0.0199954355754918,0.0325747267190886,367914313.2627118,777213.2029557509,680351946.2752534,200031106.1307063,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20863623.687119137,699.3384018783204,13224146.408134876,3017997.052523875,0.0130734945352572,0.000814059809301,0.0073966474059786,0.0196305988854708,432182937.8417738,31909.13260878598,444581010.1349549,368295604.6203036,35414635340.4751,40292545.90811929,49180822660.49145,25882616568.980656,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-22,0.027689735775496202,0.021654639162413402,0.0205883707373274,0.0322315957854846,368349374.7475591,793967.5607013578,665467601.1163412,206506670.63229564,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20868844.34746356,699.575961959743,13226120.766019084,3020679.779752813,0.0130342866059658,0.00028689399547979997,0.007845331614394801,0.0192234501582312,431263728.95840126,13358.358519066924,456556602.94961184,368884345.44408894,35391054256.572845,40202951.72892355,49050979552.443016,26204397685.900944,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-23,0.027672095873259,0.0216932451525534,0.0208241280096462,0.031222595115185398,368849245.97051316,791682.1538659182,663712094.4767584,224307037.35972026,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20874103.9223915,699.7457867385723,13228256.776001917,3023235.689206313,0.013017715495911,0.0002941269508344,0.0080228491861434,0.0180348899304432,431259279.3572487,13635.755241731082,464238995.55850774,367945258.98381764,35411974223.052795,40102828.48625063,49311905199.924355,26974771567.82246,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-24,0.027480907696265402,0.021735777773360998,0.020630225083818,0.031239492638827204,373946615.24277925,793043.179756676,670668331.1876801,224494219.7326326,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20879383.94640069,699.9235855147267,13230372.531018272,3025790.6220895625,0.012838555699883401,0.00030208985425679997,0.0078754356855228,0.018054414615315,430849965.22084016,14008.616229154026,461797992.846302,368781930.2034387,35623424092.18754,40189202.471533455,49510398552.05619,27020081667.000996,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-25,0.027613982825995198,0.021743277206076,0.0201151197019632,0.0311411115795882,370160789.8136532,789427.2477788191,680395917.4531741,225777018.20322332,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20884576.672885578,700.1004888755514,13232384.521871021,3028287.1326440624,0.012963045551404801,0.0003035012007642,0.0074855616663696,0.017940800007399,430845111.93124026,14005.923824557487,449048050.5819361,367817676.63002187,35449599793.700066,40008803.48674889,49375518933.795105,27033140770.99693,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-26,0.027000199613052,0.0218199336201918,0.019865979119856002,0.030439726969687803,375193384.9616876,760749.3811081293,676004919.6375731,233897936.33417574,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20889697.705091882,700.2789670737799,13234334.7027455,3030755.57887225,0.0123944708639862,0.00031798858061280003,0.0073027433396934,0.0171446485222842,416033611.99135834,14095.159512013393,436982280.72869974,359280735.8932471,35003706852.321465,38583881.69122446,48646414081.491646,27012591451.624035,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-27,0.0265149229709262,0.0218657613472362,0.019042770379476,0.0298953926294922,381890376.00185037,753118.1888930345,712697077.417746,240175815.12829447,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20894522.91357017,700.4603385808778,13236196.846748041,3033077.4981686044,0.0119533210023162,0.0003267000908592,0.0067172547815094,0.016534097430915,407491736.3361871,14319.779986401021,429352165.33463687,352629351.4722093,34918407906.73335,38214687.55617762,49930808966.09445,26994078175.33667,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-28,0.025665592775421003,0.0219340205504448,0.018123967609116002,0.0299134827322632,381957187.1965518,754644.6330945138,763660887.9025537,239656369.53445828,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20899152.933893774,700.6480893220722,13237925.510963375,3035394.1004947913,0.0112103302656498,0.0003396814383678,0.0060769020647136,0.0165541098247572,381690640.9800198,14882.920570053388,426668578.72305304,352383207.9104489,33747740883.50978,38318787.07867733,52065365818.85099,26957624453.346195,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-29,0.0250911613659216,0.0218808460919394,0.018173555649468,0.030059905574514,379554032.9285423,754610.0023446261,757076654.0664252,236876975.00259247,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20903265.187692907,700.8364704408832,13239621.236602686,3037722.8748142705,0.010702673346975599,0.000329536357275,0.0061101759352715996,0.0167167037342304,361273832.791918,14465.116100786698,424742861.41823155,352511018.1616804,32709648440.623753,38296190.486666866,51687953443.99829,26834848989.874966,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-05-30,0.025059111510804002,0.022680692894052598,0.0182636643393192,0.0303971656308408,380208449.740702,747510.309919281,759355820.798326,230898195.05951932,0.8000000000000002,0.8249999999999998,0.8000000000000002,0.0,20907218.082391202,701.0597676955476,13241318.163065957,3040058.816485021,0.0106755233258946,0.0004874444554986,0.006171236435470201,0.0170947748854338,360989270.89320374,20589.000441397784,429370079.2795119,353278969.7698181,32725257564.09901,38247500.03794379,51992430722.21411,26594955087.844097,1.5e+17,2e+17,7.5e+16,7.5e+16
